,Marital status,Application mode,Application order,Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Units 1 credited,Units 1 enrolled,Units 1 evaluations,Units 1 approved,Units 1 grade,Units 1 non_eval,Units 2 credited,Units 2 enrolled,Units 2 evaluations,Units 2 approved,Units 2 grade,Units 2 non_eval,Target
0,1,8,0.5555555555555556,2,1,13,4,6,10,1,0,1,1,0,0.05660377358490565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,1,2,0.1111111111111111,11,1,1,3,4,4,1,0,0,1,0,0.037735849056603765,0.0,0.23076923076923078,0.13333333333333333,0.23076923076923078,0.7417218543046358,0.0,0.0,0.2608695652173913,0.18181818181818182,0.30000000000000004,0.7358974358974358,0.0,0
2,1,1,0.5555555555555556,5,1,22,27,10,10,1,0,0,1,0,0.037735849056603765,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,1
3,1,8,0.2222222222222222,15,1,23,27,6,4,1,0,1,0,0,0.05660377358490565,0.0,0.23076923076923078,0.17777777777777778,0.23076923076923078,0.7114474929044465,0.0,0.0,0.2608695652173913,0.30303030303030304,0.25,0.6676923076923077,0.0,0
4,2,12,0.1111111111111111,3,1,22,28,10,10,0,0,1,0,0,0.5283018867924527,0.0,0.23076923076923078,0.2,0.19230769230769232,0.6534216335540839,0.0,0.0,0.2608695652173913,0.18181818181818182,0.30000000000000004,0.7,0.0,0
5,2,12,0.1111111111111111,17,12,22,27,10,8,0,1,1,1,0,0.6226415094339623,0.0,0.19230769230769232,0.22222222222222224,0.19230769230769232,0.6281929990539262,0.0,0.0,0.21739130434782608,0.5151515151515151,0.25,0.6192307692307691,0.41666666666666663,0
6,1,1,0.1111111111111111,12,1,13,28,8,11,1,0,1,0,1,0.018867924528301883,0.0,0.2692307692307693,0.2,0.2692307692307693,0.704635761589404,0.0,0.0,0.34782608695652173,0.24242424242424243,0.4,0.7724230769230769,0.0,0
7,1,9,0.4444444444444444,11,1,22,27,10,10,1,0,0,1,0,0.09433962264150941,0.0,0.19230769230769232,0.11111111111111112,0.0,0.0,0.0,0.0,0.21739130434782608,0.15151515151515152,0.0,0.0,0.0,1
8,1,1,0.3333333333333333,10,1,1,1,10,10,0,0,1,0,1,0.07547169811320753,0.0,0.23076923076923078,0.17777777777777778,0.23076923076923078,0.7350993377483444,0.0,0.0,0.2608695652173913,0.21212121212121213,0.30000000000000004,0.7615384615384615,0.0,0
9,1,1,0.1111111111111111,10,1,1,14,5,8,1,1,0,0,0,0.018867924528301883,0.0,0.23076923076923078,0.2,0.19230769230769232,0.6039735099337749,0.0,0.0,0.2608695652173913,0.42424242424242425,0.1,0.7269230769230769,0.0,1
10,1,1,0.1111111111111111,14,1,23,14,6,8,1,0,1,0,0,0.018867924528301883,0.0,0.23076923076923078,0.13333333333333333,0.23076923076923078,0.6534216335540839,0.0,0.0,0.2608695652173913,0.21212121212121213,0.25,0.7646153846153845,0.0,0
11,1,1,0.1111111111111111,12,1,13,28,10,10,1,0,1,0,1,0.018867924528301883,0.0,0.3076923076923077,0.17777777777777778,0.2692307692307693,0.7000946073793756,0.0,0.0,0.34782608695652173,0.24242424242424243,0.35000000000000003,0.7115384615384615,0.0,0
12,1,1,0.2222222222222222,16,1,13,27,5,10,1,0,1,0,0,0.037735849056603765,0.0,0.23076923076923078,0.13333333333333333,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,1
